date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2023-10-12,12:16:30,22.9223,120.5593,15.61,4.96,99,7.8,20,0.29,0.1,0.1,F,313,B
2023-10-14,7:53:31,23.9982,122.3015,23.17,5.37,99,13.7,124,0.29,0.2,0.1,F,339,B
2023-10-14,7:55:33,23.9633,122.2742,16.16,4.03,55,18,184,0.32,0.9,0.4,F,74,D
2023-10-14,7:56:04,24.0253,122.2698,21.76,4.79,99,11.6,122,0.28,0.2,0.1,F,302,B
2023-10-14,8:05:14,23.995,122.3117,24.12,4.78,99,13.9,134,0.34,0.2,0.1,F,315,C
2023-10-14,14:04:07,23.9883,122.2897,23.48,4.98,99,14.9,124,0.26,0.1,0.1,F,327,B
2023-10-16,12:56:24,24.6068,121.6262,52.24,4.04,99,6.3,23,0.21,0.2,0.2,F,295,B
2023-10-16,23:44:38,23.931,121.4678,18.34,4.01,99,4.6,46,0.31,0.1,0.1,F,285,B
2023-10-17,5:00:47,21.777,121.0633,17.9,4.11,77,25.4,151,0.35,0.4,0.4,F,109,C
2023-10-18,16:00:29,23.2695,121.246,17.54,4.17,99,9.2,59,0.39,0.1,0.1,F,242,B
2023-10-20,4:14:31,21.3568,121.8753,156.63,4.08,89,41.1,270,0.3,0.6,0.2,F,127,C
2023-10-20,7:00:57,23.1923,120.7668,5.51,4.09,99,2.6,28,0.32,0.1,0.1,F,257,B
2023-10-20,23:17:09,24.5018,122.3498,61.41,4.17,99,24.3,106,0.32,0.2,0.1,F,281,C
2023-10-22,6:52:11,24.7532,121.9322,79.05,4.57,99,9.9,84,0.31,0.2,0.2,F,292,B
2023-10-23,13:19:21,22.9985,121.323,21.34,4.94,99,12.1,80,0.33,0.1,0.2,F,281,B
2023-10-23,23:05:25,24.0012,122.6242,31.46,6.2,99,34,131,0.57,0.2,0.1,F,345,C
2023-10-24,2:54:26,24.0045,122.6303,30.67,5.33,99,34.4,131,0.33,0.3,0.2,F,272,C
2023-10-26,6:28:09,22.1182,121.363,25.21,4.37,99,21.9,83,0.39,0.2,0.4,F,212,B
2023-10-28,2:16:11,22.5165,121.3672,29.65,4.78,99,20.3,63,0.34,0.1,0.3,F,229,B
2023-10-28,16:27:34,23.9963,122.7055,33.28,4.33,99,41.9,164,0.41,0.2,0.2,F,282,C
2023-10-29,1:23:59,24.3042,122.6948,52.4,4.22,99,36.1,139,0.37,0.1,0.1,F,281,C
2023-10-29,9:36:05,23.4395,121.455,29.99,4.35,99,6.6,95,0.32,0.2,0.2,F,232,C
2023-10-29,18:12:37,23.7745,121.5197,7.25,4.23,99,4.6,77,0.33,0.1,0.1,F,277,B
2023-10-31,12:33:54,23.2437,121.6023,44.61,4.7,99,17.4,80,0.3,0.3,0.2,F,265,B
2023-11-02,18:02:30,24.7188,122.4402,107.86,4.33,99,39.3,135,0.34,0.6,0.6,F,281,B
2023-11-02,21:00:56,24.4135,121.9483,29.6,4.18,99,17.6,77,0.32,0.1,0.1,F,253,B
2023-11-06,0:32:28,24.6232,121.995,64.74,4.26,99,24.8,93,0.35,0.2,0.2,F,285,C
2023-11-07,21:34:15,24.2873,121.8502,15.5,4.12,99,10.5,71,0.43,0.2,0.1,F,236,B
2023-11-10,12:05:04,23.068,121.3353,36.87,4.25,99,5,93,0.39,0.2,0.2,F,300,C
2023-11-10,16:54:40,23.458,121.5703,39.05,5.5,99,15.4,101,0.29,0.2,0.2,F,284,B
2023-11-16,21:00:27,21.9417,121.5863,16.43,4.13,99,11,216,0.34,0.9,0.2,F,144,D
2023-11-17,5:53:39,22.1972,119.9563,48.87,4.11,99,45.5,203,0.5,0.5,0.3,F,188,D
2023-11-17,6:14:48,22.9868,121.4528,19.99,4,99,14.8,87,0.34,0.2,0.2,F,213,B
2023-11-17,6:46:09,22.2915,120.0007,38.27,4.44,99,38.2,169,0.31,0.3,0.1,F,155,C
2023-11-18,14:44:14,24.0108,122.7338,43.69,4.23,99,44.2,171,0.45,0.3,0.4,F,310,C
2023-11-18,16:58:08,22.2768,119.9815,39.05,4.65,99,40.5,105,0.32,0.3,0.2,F,195,C
2023-11-19,16:40:16,24.2165,121.5963,39.5,4.15,99,4.7,69,0.26,0.2,0.2,F,282,B
2023-11-20,17:16:36,23.8193,120.8572,28.91,4.65,99,8.6,13,0.29,0.1,0.1,F,355,B
2023-11-23,4:26:27,23.1955,121.5417,44.43,4.74,99,16.3,86,0.34,0.2,0.1,F,332,B
2023-11-24,19:15:53,24.1058,122.5367,37.26,4.14,99,22.4,141,0.39,0.2,0.1,F,302,C
2023-11-26,4:11:44,24.0575,122.4165,25.85,4.99,99,12.3,137,0.42,0.2,0.1,F,307,C
2023-11-26,4:31:11,24.061,122.4257,25.55,5.46,99,12.9,120,0.33,0.2,0.1,F,291,C
2023-11-28,21:11:52,21.1527,122.331,23.61,4.08,99,93.2,285,0.47,0.4,0.8,F,176,D
2023-12-01,15:11:54,23.9967,121.003,16.39,4.24,99,4,17,0.31,0.1,0.1,F,326,B
2023-12-01,22:27:30,23.4192,121.439,23.8,4.94,99,8.2,72,0.29,0.1,0.1,F,314,B
2023-12-02,18:24:57,21.0398,122.0695,57.73,4.02,94,77.9,290,0.77,0.7,0.5,F,180,D
2023-12-05,19:49:02,24.7922,121.8662,91.69,4.22,99,7.8,41,0.33,0.2,0.2,F,355,B
2023-12-07,13:21:56,23.4655,121.3075,12.53,4.12,99,4.7,62,0.42,0.1,0.1,F,288,B
2023-12-08,11:39:45,24.6268,122.7538,103.89,4.08,99,30.8,162,0.3,0.2,0.2,F,288,C
